XY 5 4 3 4 2 2 2 4 4 3
TW 3 5 3 2 4 3 4 4 4 3
JW 4 4 3 2 2 2 2 4 4 4
LW 3 5 3 3 2 3 3 3 3 5
JW 4 4 3 3 4 3 3 4 5 4
NV 3 4 3 5 2 3 3 3 1 4
ST 2 4 3 3 4 4 1 3 5 3
ST 3 4 2 5 2 5 3 5 1 5
CS 5 2 1 3 2 1 2 5 2 5
BS 5 3 3 4 2 1 3 4 3 3
MS 3 4 2 5 2 3 1 4 3 4
NS 4 3 1 5 1 4 1 5 2 5
ES 2 4 4 3 2 5 3 3 2 5
MR 4 2 2 3 2 2 3 4 4 4
HR 3 4 2 4 1 4 2 5 3 5
ZR 4 3 3 3 2 3 2 4 3 4
MR 4 4 3 4 3 2 3 5 2 5
JP 5 3 4 4 3 4 3 4 5 5
KP 3 4 4 5 3 2 2 3 5 3
LN 5 3 4 3 1 4 1 3 4 2
SN 4 5 1 5 1 4 2 5 3 5
TN 4 3 2 2 1 3 5 4 5 5
JM 2 4 1 5 1 4 4 5 2 4
DM 3 5 2 4 2 3 2 4 3 4
VM 5 2 3 3 3 1 2 4 2 3
MM 3 3 4 3 2 5 2 4 3 3
KM 2 3 4 4 3 4 3 4 2 5
NM 2 5 4 4 4 4 1 5 2 5
JM 5 5 2 3 1 2 1 5 5 4
JM 3 5 3 4 3 5 1 3 1 5
DL 4 5 3 4 3 4 3 5 4 4
AL 3 2 3 4 3 3 5 4 2 4
NL 3 5 3 5 2 4 2 4 3 3
RL 5 2 3 1 1 1 3 5 5 3
JL 4 5 4 4 4 4 2 3 3 4
AL 4 1 1 3 2 3 4 5 4 4
JK 1 5 1 3 4 4 3 5 2 4
DJ 3 4 2 5 2 4 1 5 1 5
SJ 4 2 2 4 3 3 1 5 4 4
BH 3 5 4 4 2 3 3 4 2 4
JH 3 4 3 4 3 4 2 4 2 4
IH 4 4 3 4 5 3 3 5 4 4
JH 2 5 1 4 3 4 2 4 3 3
CH 4 3 2 3 3 2 3 5 3 3
JG 3 5 2 4 3 4 2 5 3 4
JG 5 4 2 3 2 2 2 4 4 4
BG 5 5 4 5 4 2 3 4 5 4
CG 4 3 1 4 4 2 1 5 2 5
BF 2 5 1 4 5 5 3 5 4 4
JE 2 5 2 3 5 4 2 5 2 5
CD 4 5 3 3 4 3 2 5 3 5
MD 1 4 4 5 1 5 2 4 3 5
RD 4 5 2 4 3 5 2 5 2 4
AD 2 4 3 4 1 4 1 4 1 2
BC 3 5 4 4 4 4 3 3 4 3
JC 3 5 4 3 3 2 3 3 4 3
HC 5 4 5 1 4 3 1 4 5 2
LC 2 4 2 3 5 3 3 2 4 1
MC 4 4 4 4 4 3 3 4 5 3
GB 3 4 4 4 2 4 2 3 4 4
KB 3 4 2 3 2 4 4 5 2 2
AB 4 4 5 4 4 2 2 2 4 4
BA 4 4 3 3 3 4 4 4 4 5
NA 4 5 3 3 3 4 3 5 5 4
CA 2 5 3 5 2 4 1 5 2 5
FA 3 3 3 3 4 3 4 4 2 4
FA 4 5 4 5 1 5 2 4 5 5
AL 4 4 3 5 5 3 4 4 5 2
DX 5 4 4 4 5 3 3 4 3 5
